,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: FOXP3- , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: FOXP3- , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: FOXP3+ , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: FOXP3+ , CD25- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: FOXP3- , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: FOXP3- , CD25- | Count",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Count,
A5 Saline_1.fcs,100,163377,64.3,105064,93.2,97963,91.0,89153,43.9,39174,47.9,18764,2.46,461,2.96,555,98.9,549,1.08,6.00,14.4,2705,80.2,15043,31.2,12238,
A7 Saline_3.fcs,100,110813,98.7,109383,93.6,102348,98.0,100340,19.8,19912,54.7,10898,1.28,139,7.59,827,97.1,803,2.78,23.0,41.4,4509,49.8,5423,19.0,3784,
A8 Saline_4.fcs,100,122455,82.3,100766,92.9,93648,94.4,88384,46.3,40899,45.7,18680,2.52,471,4.04,754,95.4,719,4.51,34.0,16.0,2987,77.5,14468,34.5,14121,
B5 BCG_1.fcs,100,132456,73.4,97223,90.5,88015,82.0,72210,36.1,26070,57.1,14878,4.15,617,4.56,679,94.4,641,5.60,38.0,20.3,3014,71.0,10568,26.8,6980,
B6 BCG_2.fcs,100,126157,80.1,101001,91.8,92701,93.3,86485,43.7,37806,49.3,18641,2.73,508,3.77,703,97.0,682,2.99,21.0,16.3,3046,77.2,14384,30.9,11687,
B8 BCG_4.fcs,100,124922,84.1,105040,90.7,95280,92.8,88466,30.7,27165,49.1,13344,2.48,331,4.04,539,96.3,519,3.71,20.0,18.4,2460,75.0,10014,30.3,8236,
C5 ID93_1.fcs,100,138197,67.3,93041,90.0,83742,71.9,60224,41.6,25043,48.8,12220,3.09,377,3.49,427,95.6,408,4.45,19.0,13.0,1593,80.4,9823,32.9,8230,
C6 ID93_2.fcs,100,126318,78.2,98731,92.3,91148,94.2,85861,35.0,30056,47.7,14351,2.33,334,4.47,642,93.3,599,6.39,41.0,13.3,1905,79.9,11470,26.0,7826,
C7 ID93_3.fcs,100,131770,74.3,97890,91.7,89775,92.4,82953,48.7,40381,48.9,19735,2.28,450,5.03,993,97.2,965,2.42,24.0,9.76,1926,82.9,16366,28.3,11437,
C8 ID93_4.fcs,100,127610,76.8,97984,92.8,90885,95.4,86704,32.7,28390,56.8,16129,2.98,481,5.10,822,97.3,800,2.31,19.0,15.9,2562,76.0,12264,17.1,4848,
D5 BCG+ID93_1.fcs,100,120943,83.2,100678,92.9,93530,93.6,87507,33.2,29023,47.8,13868,3.14,435,4.99,692,95.7,662,4.34,30.0,16.4,2276,75.5,10465,32.5,9430,
Mean,100,129547,78.4,100618,92.0,92640,90.8,84390,37.4,31265,50.3,15592,2.68,419,4.55,694,96.2,668,3.69,25.0,17.7,2635,75.0,11844,28.1,8983,
SD,0,13248,9.23,4508,1.20,4954,7.44,10323,8.42,7123,3.93,2997,0.71,123,1.21,156,1.54,154,1.56,10.0,8.33,790,8.98,3107,5.62,3180,
